time,true_time,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
1401,4.835616,62.28738526,52.19269748,72.38207303,46.84889256,77.72587795
1402,4.838356,49.6040971,39.50799983,59.70019437,34.16344878,65.04474542
1403,4.841096,59.33837051,49.24086395,69.43587707,43.89556686,74.78117416
1404,4.843836,51.83811036,41.7391947,61.93702601,36.39315168,67.28306903
1405,4.846575,63.98863611,53.88831156,74.08896067,48.54152271,79.43574952
1406,4.849315,57.92040818,47.81867492,68.02214144,42.47114035,73.36967601
1407,4.852055,50.35286028,40.24971851,60.45600205,34.90143833,65.80428223
1408,4.854795,49.9566706,39.85212052,60.06122067,34.50309482,65.41024637
1409,4.857534,50.93240504,40.82644685,61.03836323,35.47667574,66.38813434
1410,4.860274,62.24041113,52.13304502,72.34777724,46.78252861,77.69829365
1411,4.863014,48.65788711,38.54911328,58.76666094,33.19785166,64.11792256
1412,4.865753,59.45965648,49.34947512,69.56983783,43.9974684,74.92184455
1413,4.868493,56.24825786,46.13666918,66.35984655,40.78391747,71.71259826
1414,4.871233,50.34153332,40.2285375,60.45452913,34.87504089,65.80802574
1415,4.873973,61.36715913,51.25275638,71.48156189,45.89851498,76.83580328
1416,4.876712,46.47061985,36.35481035,56.58642935,30.99982427,61.94141543
1417,4.879452,57.22547165,47.1082556,67.34268769,41.75252494,72.69841835
1418,4.882192,53.74022354,43.62160115,63.85884594,38.26512601,69.21532108
1419,4.884932,57.59602798,47.47599942,67.71605653,42.11877991,73.07327604
1420,4.887671,50.48448231,40.36304779,60.60591682,35.00508401,65.9638806
1421,4.890411,55.47047673,45.34763645,65.593317,39.9889285,70.95202495
1422,4.893151,51.26031804,41.13607219,61.38456389,35.77662018,66.7440159
1423,4.89589,55.97154189,45.84589066,66.09719311,40.48569469,71.45738908
1424,4.89863,48.9967991,38.86974269,59.1238555,33.50880286,64.48479533
1425,4.90137,54.86148192,44.73302053,64.98994331,39.37133695,70.3516269
1426,4.90411,63.84923844,53.71937226,73.97910462,48.35694503,79.34153185
1427,4.906849,60.47804445,50.34677368,70.60931523,44.9836029,75.97248601
1428,4.909589,65.56604128,55.4333661,75.69871645,50.06945188,81.06263068
1429,4.912329,50.85122615,40.71714677,60.98530553,35.3524892,66.3499631
1430,4.915068,56.68372139,46.548238,66.81920478,41.18283719,72.18460559
1431,4.917808,74.01800651,63.8811193,84.15489372,58.51497536,89.52103767
1432,4.920548,50.49900232,40.36071149,60.63729315,34.99382451,66.00418013
1433,4.923288,57.10209865,46.96240439,67.24179291,41.59477448,72.60942281
